CID,Industry,Topic,Metric,Code,Page,Heading or Fragment,Value,Unit,SASB Unit of Measurement,Complete
Malakkof Humanis,Finance,"Incorporation
of
Environmental,
Social and
Governance
Factors in
Investment
Management","Description of approach to incorporation
of environmental, social and governance
(ESG) factors in investment management
processes and strategies",FN-IN-410a.2,8,"La politique d’investissement responsable s’inscrit donc pleinement dans les nouveauxengagements RSE pris par Malako? Humanis, que ce soit au niveau social ouenvironnemental. Elle est en e?et déterminante dans le développement d’un impact socialpositif, ainsi que dans l’amélioration de la performance environnementale du Groupe (dontla majorité de l’empreinte carbone relève des investissements réalisés).Par le renforcement de sa politique d’investissement responsable initiée en 2022, Malako?Humanis ambitionne de garantir à toutes ses parties-prenantes que chaque euro quilui est con?é soit investi au service d’une plus grande performance sociale, sociétale etenvironnementale.Le pilotage de cette politique est directement intégré dans les instances degouvernance à trois niveaux :• Le Conseil d’administration en valide les grands principes ;• Le Comité exécutif en assure la cohérence avec la politique RSE ;• La Direction des investissements met en œuvre cette politique au travers de sesinvestissements.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,"Financed
Emissions","Gross exposure for each industry by asset
class",FN-IN-410c.2,8,"1.2. Grandes caractéristiques des encours à ?n 2022Les encours du groupe couverts par la politique d’investissement responsable représentent 40,3 Md€ à ?n 2022, dont 27,2 Md€ au titre de l’activité assurantielle, et 13,1 Md€ au titre de l’activité retraite complémentaire, en lien avec l’Agirc Arrco. Le groupe s’appuie sur di?érents gérants d’actifs externes à qui il con?e cette gestion, classe d’actifs par classe d’actifs. Le cadre général, les grandes orientations en matière d’ISRsont ?xés par le groupe. C’est ensuite l’équipe ISR qui se charge de coordonner de façon cohérente les actions des gérants et s’assure que chacun d’eux opère dans le cadre dé?ni. Les principaux gérants avec lesquels le groupe opère sont :OSTRUM (14Md€)Sienna (14 Md€, incluant la gestion du portefeuille d’épargne salariale) La Banque Postale Asset Management (6 Md€) Amundi (3 Md€) L’épargne salariale constituée est investie sur décision individuelle des salariés. Le groupe avocation à proposer aux épargnants des supports et une o?re en ligne avec sa politique ISR. Dans la suite du document, les encours d’épargne salariale ne sont pas représentés.","13,1 Md",€,€,TRUE
Malakkof Humanis,Finance,,"Description of the methodology used to
calculate financed emissions",FN-IN-410c.4,9,"La part des encours couverts par une analyse ESG est calculée en prenant en compteles fonds Articles 8&9. Le règlement SFDR dé?nit en e?et deux catégories de produitsprésentant des caractéristiques extra-?nancières : les fonds « article 8 » promeuvent descaractéristiques environnementales et/ou sociales ; les fonds « article 9 » ont pour objectifl’investissement durable. Pour le non coté (private equity, dette privée et autres non cotés),les fonds faisant l’objet d’un rapport ESG ont également été intégrés.",N/A,N/A,N/A,TRUE
EDF,Energy,"Nuclear Safety
& Emergency
Management","Description of efforts to manage nuclear
safety and emergency preparedness",IF-EU-540a.2,11,"La santé et la sécurité est et doitrester la priorité de tous, tous lesjours, à chaque instant. Préventiondes risques, qualité de vie autravail… Cette priorité est le fruit d’unengagement collectif sur le site.Le service de prévention et de santé au travail de lacentrale de Saint-Laurent assure le suivi médical del’ensemble des salariés EDF et partenaires industriels.Pour les salariés travaillant en zone contrôlée, unevisite médicale est obligatoire tous les ans. De fait, laprotection des intervenants susceptibles d’être exposésaux rayonnements ionisants dans les centrales nucléairesest une priorité pour EDF. Qu’ils soient salariés d’EDF oud’entreprises partenaires, ils béné? cient tous des mêmesconditions de radioprotection.La réglementation française impose une limite d’expositionannuelle à ne pas dépasser pour les travailleursintervenants en zone nucléaire. Elle s’élève à 20 mSv sur12 mois glissants.En 2021, à la centrale de Saint-Laurent, aucun intervenantn’a dépassé 10 mSv.",N/A,N/A,N/A,TRUE
Innergex,Energy,"Grenhouse Gas Emissions & 
Energy Ressource Planning","Discussion of long- and short-term
strategy or plan to manage Scope 1
emissions, emissions reduction targets,
and an analysis of performance against
those targets",IF-EU-110a.3,34,"En matière de politique climatique, les activités d’Innergex,un producteur d’énergie 100 % renouvelable, sont fermement alignées sur l’Accord de Paris. Nous sommes depuis longtemps un chef de ?le dans la collaboration avec les décideurs et décideuses sur les stratégies et les objectifs de réduction du changement climatique. L’adhésion et l’engagement d’Innergex auprès d’associations sont supervisés par la Vice-présidente, relations d’entreprise. Cela permet de garantir une supervision centrale de ces activités par la haute direction et que celles-ci sont conformes aux engagements d’Innergex à l’égard del’Accord de Paris. Cela permet également d’assurer la cohérencede notre engagement dans toutes les régions géographiques où nous exerçons nos activités.Depuis 2020, Innergex rend compte chaque année, parl’intermédiaire du CDP, des activités relatives à ses engagementset susceptibles d’in?uencer les politiques, les lois ou les réglementations relatives au climat. 3 Cela comprend notre propre engagement direct auprès des décideurs et décideuses politiques et notre engagement par l’intermédiaire des associations professionnelles dont nous sommes membres. Nous avons examiné les activités de lobbyisme de nos principales associations commerciales (nationales ou transnationales) au Canada, aux États-Unis, en France et au Chili, et avons constaté qu’elles sont clairement alignées sur l’Accord de Paris. L’engagement d’Innergex auprès de cesassociations les encourage souvent à poursuivre des politiques climatiques encore plus ambitieuses, notamment l’atteinte d’objectifs d’énergie renouvelable à 100 %. Innergex continue de surveiller l’engagement politique de nos associations industrielles et commerciales pour s’assurer qu’elles s’alignent sur l’Accord de Paris et sur notre mission de créer un monde meilleur grâce à l’énergie renouvelable.",N/A,N/A,N/A,TRUE
Innergex,Energy,"Greenhouse
Gas Emissions
& Energy
Resource
Planning","(1) Gross global Scope 1 emissions,
percentage covered under (2) emissions-
limiting regulations and (3) emissions-
reporting regulations",IF-EU-110a.1,35,"En 2023, les émissions directes (champ d'application 1) s’élèvent à 1 430,43 tonnes de CO?e.","1 430,43",tonnes métriques (t) d’éq. CO?,tonnes métriques (t) d’éq. CO?,TRUE
Innergex,Energy,,,IF-EU-110a.1,35,"Les émissions indirectes (champ d'application 2) en 2023 atteignent 8 720,34 tonnes de CO?e, contre 12 340,17 tonnes en 2022.","8 720,34",tonnes métriques (t) d’éq. CO?,tonnes métriques (t) d’éq. CO?,TRUE
Innergex,Energy,,,IF-EU-110a.1,35,"Le total des émissions des champs d'application 1 et 2 est de 10 150,77 tonnes de CO?e en 2023.","10 150,77",tonnes métriques (t) d’éq. CO?,tonnes métriques (t) d’éq. CO?,TRUE
Innergex,Energy,,,IF-EU-110a.1,35,"En 2023, les émissions fugitives sont estimées à 69,53 tonnes de CO?e, soit une nette diminution par rapport à 188,00 tonnes en 2022.",69.53,tonnes métriques (t) d’éq. CO?,tonnes métriques (t) d’éq. CO?,TRUE
Innergex,Energy,,,IF-EU-110a.1,35,"Le total des émissions de gaz à effet de serre, y compris les émissions fugitives, est de 10 220,29 tonnes de CO?e pour l’année 2023.","10 220,29",tonnes métriques (t) d’éq. CO?,tonnes métriques (t) d’éq. CO?,TRUE
